["in","LEFT"]
["out_1","RIGHT"]
["out_2","RIGHT"]
("in","mode 1",1,"in",1,"transmission")
(102, 3)
1.9330052426599325e+14 6.5406527225879718e-01 7.1720097694148643e+00
1.9342669954292928e+14 6.5392084377626658e-01 7.3677114075091499e+00
1.9355287481986531e+14 6.5376875362812314e-01 7.5634005024112057e+00
1.9359660086208747e+14 6.5371421630456883e-01 7.6312136033079021e+00
1.9363532405457916e+14 6.5366512533654608e-01 7.6912666852251101e+00
1.9367905009680134e+14 6.5360879499479718e-01 7.7590768732632416e+00
1.9380522537373738e+14 6.5344094053396506e-01 7.9547402111952596e+00
1.9393140065067341e+14 6.5326535708958622e-01 8.1503901739979163e+00
1.9405757592760944e+14 6.5308239272783519e-01 8.3460264867696647e+00
1.9418375120454544e+14 6.5289253598381414e-01 8.5416490313195830e+00
1.9430992648148147e+14 6.5269635180136210e-01 8.7372579077750654e+00
1.9443610175841750e+14 6.5249440283127169e-01 8.9328534553082477e+00
1.9456227703535353e+14 6.5228716781126839e-01 9.1284362247665829e+00
1.9468845231228956e+14 6.5207497011654303e-01 9.3240069034702966e+00
1.9481462758922559e+14 6.5185792891762462e-01 9.5195662004230321e+00
1.9494080286616162e+14 6.5163594268711933e-01 9.7151147074268920e+00
1.9506697814309762e+14 6.5140871035416170e-01 9.9106527568972211e+00
1.9519315342003366e+14 6.5117578979901047e-01 1.0106180299572078e+01
1.9531932869696969e+14 6.5093668741048782e-01 1.0301696824223372e+01
1.9544550397390572e+14 6.5069096700194007e-01 1.0497201336842334e+01
1.9557167925084175e+14 6.5043836237834451e-01 1.0692692409052595e+01
1.9569785452777778e+14 6.5017887598624380e-01 1.0888168295695422e+01
1.9582402980471381e+14 6.4991284679284134e-01 1.1083627110989054e+01
1.9595020508164981e+14 6.4964097389245157e-01 1.1279067042963874e+01
1.9607638035858584e+14 6.4936428798327683e-01 1.1474486578551460e+01
1.9620255563552188e+14 6.4908407007693014e-01 1.1669884708011388e+01
1.9632873091245791e+14 6.4880172459662355e-01 1.1865261078104609e+01
